asignacionId,alumnoId,profesorAsignadoId,semanaIdx,sesionIdx,inicioISO,finISO,duracionRealSeg,duracionObjetivoSeg,bloquesTotales,bloquesCompletados,bloquesOmitidos,finalizada,finAnticipado,motivoFin,calificacion,notas,dispositivo,versionSchema,piezaNombre,planNombre,semanaNombre,sesionNombre,foco,id,created_date,updated_date,created_by_id,created_by,is_sample
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","0","2025-10-28T15:34:00.000Z","2025-10-28T16:33:00.000Z","3540","1140","3","3","0","true","false","terminado","1","Sesión difícil","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión A","GEN","69168df439037db17524cdb5","2025-11-14T02:03:32.482000","2025-11-14T02:03:32.482000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","1","2025-10-29T18:09:00.000Z","2025-10-29T19:08:00.000Z","3540","1140","3","3","0","true","false","terminado","2","Práctica aceptable","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión B","S&A","69168df52aa670ec5428a5ba","2025-11-14T02:03:33.857000","2025-11-14T02:03:33.857000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","2","2025-10-31T09:20:00.000Z","2025-10-31T09:48:00.000Z","1680","1200","3","3","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión C","RIT","69168df66c5f01312dc6fe5c","2025-11-14T02:03:34.999000","2025-11-14T02:03:34.999000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","0","2025-10-29T20:07:00.000Z","2025-10-29T20:39:00.000Z","1920","1020","3","3","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión A","ART","69168f2b581c4ab547ea5fac","2025-11-14T02:08:43.174000","2025-11-14T02:08:43.174000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","1","2025-10-30T20:53:00.000Z","2025-10-30T21:14:00.000Z","1260","720","2","2","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión B","S&A","69168f2cbc1a5427cf8a7273","2025-11-14T02:08:44.813000","2025-11-14T02:08:44.813000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","0","2025-10-29T18:36:00.000Z","2025-10-29T19:00:00.000Z","1440","1200","3","3","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión A","LIG","69169478045ec522c8713282","2025-11-14T02:31:20.472000","2025-11-14T02:31:20.472000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","1","2025-10-30T20:33:00.000Z","2025-10-30T21:19:00.000Z","2760","960","2","2","0","true","false","terminado","1","Sesión difícil","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión B","LIG","6916947931e3299ffed776cb","2025-11-14T02:31:21.800000","2025-11-14T02:31:21.800000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","2","2025-10-31T21:35:00.000Z","2025-10-31T22:05:00.000Z","1800","1200","3","3","0","true","false","terminado","1","Sesión difícil","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión C","GEN","6916947a74e6529f0b69f522","2025-11-14T02:31:22.823000","2025-11-14T02:31:22.823000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","3","2025-11-01T17:56:00.000Z","2025-11-01T18:42:00.000Z","2760","840","2","2","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión D","LIG","6916947b71dabc67911cc6a1","2025-11-14T02:31:23.928000","2025-11-14T02:31:23.928000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69168df316deb6f55a098f85","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","4","2025-11-02T09:38:00.000Z","2025-11-02T10:00:00.000Z","1320","1740","4","4","0","true","false","terminado","2","Práctica aceptable","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión E","ART","6916947ca768bf0d5e9d9d2e","2025-11-14T02:31:24.633000","2025-11-14T02:31:24.633000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"6916947f27b9d45a77719bdb","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","0","2025-11-03T08:20:00.000Z","2025-11-03T08:49:00.000Z","1740","720","2","2","0","true","false","terminado","2","Práctica aceptable","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión A","LIG","6916947f835fcba2c147da14","2025-11-14T02:31:27.520000","2025-11-14T02:31:27.520000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"6916947f27b9d45a77719bdb","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","1","2025-11-04T06:45:00.000Z","2025-11-04T07:06:00.000Z","1260","1140","3","3","0","true","false","terminado","3","Buena práctica","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión B","GEN","691694808eb8317552c406dc","2025-11-14T02:31:28.335000","2025-11-14T02:31:28.335000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"6916947f27b9d45a77719bdb","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","2","2025-11-05T07:26:00.000Z","2025-11-05T08:16:00.000Z","3000","840","2","2","0","true","false","terminado","1","Sesión difícil","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión C","ART","6916948177f1c8b1fc969452","2025-11-14T02:31:29.369000","2025-11-14T02:31:29.369000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"6916947f27b9d45a77719bdb","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","3","2025-11-07T07:15:00.000Z","2025-11-07T08:10:00.000Z","3300","1740","4","4","0","true","false","terminado","1","Sesión difícil","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión D","GEN","69169482ec6b15a5387b4202","2025-11-14T02:31:30.249000","2025-11-14T02:31:30.249000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"6916947f27b9d45a77719bdb","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","4","2025-11-09T08:05:00.000Z","2025-11-09T09:03:00.000Z","3480","840","2","2","0","true","false","terminado","4","Excelente sesión","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión E","ART","69169483eb7c3b9a186dbe89","2025-11-14T02:31:31.424000","2025-11-14T02:31:31.424000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
"69169484eb7c3b9a186dbe8a","6913f9c07890d136d35d0a77","6913ff6688f046f7e7eb3f3b","0","0","2025-11-10T06:21:00.000Z","2025-11-10T07:17:00.000Z","3360","1740","4","4","0","true","false","terminado","4","Excelente sesión","TestSeed","1.0","Seed – Estudio base","Seed – Plan Base","Semana 1","Sesión A","LIG","6916948452012918c46ca673","2025-11-14T02:31:32.856000","2025-11-14T02:31:32.856000","6913f837bb2b72a49b9d25d2","carlescamarasa@gmail.com","false"
